ID	TD	rTPJ
1	0.39	-0.12
2	0.46	-0.14
3	0.46	0.12
6	0.47	-0.02
8	0.38	0.04
9	0.76	-0.15
10	0.62	-0.03
12	0.72	-0.19
13	0.98	0.25
14	0.9	-0.07
16	0	-0.11
17		-0.12
18	0.13	-0.24
19	0.54	0.07
20	0.93	
21	0.5	0.02
22	0.71	0.26
23	0.38	-0.16
24	0.86	-0.04
25	0.52	-0.41
26	1	-0.11
29	0.93	0.25
30	0.53	-0.3
31	0.9	-0.29
32	0.69	-0.02
33	0.76	-0.32
34	0.91	-0.29
35	0.67	-0.02
36	0.62	-0.03
37	0.64	
38	0.58	-0.14
40	0.7	-0.01
41	0.28	-0.2
42	0.62	-0.14
43	0.16	-0.2
44		-0.25
45		-0.05
46		0.05
47	0.06	-0.46
48	0.68	0.06
49	0.6	-0.17
50	0.94	-0.08
