76.00	36.00	33.00	33.00	33.00 26.00
66.00	46.50	41.00	44.00	43.00	41.00
94.00	59.00	43.00	26.50	27.00	25.00
90.00	56.00	60.00	22.50	20.00	29.00
47.00	39.00	39.00	39.00	38.50	35.50
86.00	80.00	72.00	72.00	78.00	52.50
87.00	69.00	62.00	57.50	46.00	41.50
91.50	67.50	71.00	68.00	62.50	65.00
97.00	96.00	97.00	95.00	94.50	92.00
88.00	88.00	88.00	89.00	88.00	89.00
4.00	5.00	4.00	4.00	4.50	4.00
63.00	10.00	7.00	6.00	4.00	5.00
75.50	53.00	50.00	49.00	49.00	49.50
97.00	95.00	90.00	88.00	88.50	88.50
99.00	39.50	43.50	39.00	38.50	39.00
42.00	76.50	75.00	90.00	70.00	69.00
78.50	44.50	39.00	18.50	30.00	19.50
98.00	53.50	89.00	89.50	89.00	89.50
61.00	35.50	69.00	59.50	51.00	31.00
99.00	97.00	98.00	98.00	97.00	98.00
97.00	90.00	89.50	89.00	90.00	90.00
87.00	65.00	22.50	48.50	49.00	51.00
92.50	89.00	89.00	86.00	89.00	77.00
66.00	43.00	68.00	88.00	77.00	69.50
88.50	87.50	71.50	49.00	81.50	76.00
89.50	90.00	90.00	89.00	90.00	89.00
98.00	67.00	77.00	49.00	52.00	50.50
82.00	39.00	68.00	69.00	60.00	47.50
89.50	73.00	47.50	59.00	71.50	26.00
98.50	71.50	56.00	52.50	35.50	18.50
99.00	62.50	71.00	43.00	85.50	49.00
72.00	38.50	23.00	19.50	12.50	5.50
94.00	75.00	66.50	53.50	41.50	28.00
20.00	19.00 20.00 19.00 16.00 19.00
49.00	1.00	1.00	1.00	1.00	1.00
93.00	78.00	60.50	49.50	66.00	53.00
73.50	71.50	57.00	74.00	39.00	37.00
92.50	93.50	90.00	99.00	89.50	89.00
